id,N,rankdist
020001,2,1
020002,2,5
020003,2,1
020004,2,5
020005,2,1
020006,2,3
020007,2,3
020008,2,9
020009,2,3
020010,2,5
020011,2,3
020012,2,9
020013,2,3
020014,2,1
020015,2,3
020016,2,9
020017,2,9
020018,2,1
020019,2,5
020020,2,5
020021,2,1
020022,2,5
020023,2,5
020024,2,3
020025,2,1
020026,2,3
020027,2,1
020028,2,3
020029,2,5
020030,2,5
020031,2,5
020032,2,9
020033,2,3
020034,2,5
020035,2,3
020036,2,9
020037,2,5
020038,2,5
020039,2,5
020040,2,1
020041,2,3
020042,2,5
020043,2,5
020044,2,9
020045,2,3
020046,2,5
020047,2,5
020048,2,5
020049,2,5
020050,2,1
020051,2,3
020052,2,3
020053,2,1
020054,2,3
020055,2,1
020056,2,1
020057,2,1
020058,2,5
020059,2,9
020060,2,1
020061,2,1
020062,2,9
020063,2,5
020064,2,1
020065,2,1
020066,2,9
020067,2,3
020068,2,1
020069,2,3
020070,2,5
020071,2,1
020072,2,3
020073,2,1
020074,2,1
020075,2,3
020076,2,9
020077,2,3
020078,2,5
020079,2,3
020080,2,9
020081,2,5
020082,2,3
020083,2,1
020084,2,5
020085,2,1
020086,2,9
020087,2,3
020088,2,9
020089,2,1
020090,2,5
020091,2,3
020092,2,5
020093,2,3
020094,2,3
020095,2,5
020096,2,5
020097,2,5
020098,2,9
020099,2,9
020100,2,5
020101,2,5
020102,2,3
020103,2,5
020104,2,5
020105,2,5
020106,2,5
020107,2,5
020108,2,5
020109,2,3
020110,2,3
020111,2,1
020112,2,3
020113,2,3
020114,2,5
020115,2,1
020116,2,3
020117,2,3
020118,2,3
020119,2,3
020120,2,3
020121,2,3
020122,2,3
020123,2,5
020124,2,1
020125,2,5
020126,2,1
020127,2,1
020128,2,9
020129,2,1
020130,2,3
020131,2,1
020132,2,9
020133,2,5
020134,2,5
020135,2,5
020136,2,1
020137,2,9
020138,2,1
020139,2,9
020140,2,3
020141,2,3
020142,2,3
020143,2,3
020144,2,3
020145,2,5
020146,2,5
020147,2,1
020148,2,5
020149,2,9
020150,2,5
020151,2,3
020152,2,1
020153,2,5
020154,2,1
020155,2,1
020156,2,5
020157,2,1
020158,2,5
020159,2,5
020160,2,3
020161,2,3
020162,2,5
020163,2,3
020164,2,1
020165,2,5
020166,2,3
020167,2,9
020168,2,3
020169,2,3
020170,2,5
020171,2,1
020172,2,5
020173,2,3
020174,2,9
020175,2,5
020176,2,3
020177,2,3
020178,2,5
020179,2,5
020180,2,3
020181,2,3
020182,2,9
020183,2,9
020184,2,5
020185,2,5
020186,2,9
020187,2,5
020188,2,1
020189,2,1
020190,2,5
020191,2,3
020192,2,1
020193,2,5
020194,2,5
020195,2,9
020196,2,3
020197,2,5
020198,2,3
020199,2,9
020200,2,1
020201,2,5
020202,2,9
020203,2,3
020204,2,9
020205,2,1
020206,2,9
020207,2,5
020208,2,5
020209,2,9
020210,2,9
020211,2,5
020212,2,1
020213,2,1
020214,2,5
020215,2,5
020216,2,3
020217,2,3
020218,2,1
020219,2,3
020220,2,5
020221,2,5
020222,2,1
020223,2,1
020224,2,1
020225,2,1
020226,2,5
020227,2,3
020228,2,5
020229,2,5
020230,2,5
020231,2,3
020232,2,5
020233,2,3
020234,2,3
020235,2,3
020236,2,1
020237,2,5
020238,2,3
020239,2,1
020240,2,9
020241,2,5
020242,2,1
020243,2,5
020244,2,9
020245,2,5
020246,2,1
020247,2,5
020248,2,1
020249,2,1
020250,2,1
020251,2,1
020252,2,5
020253,2,5
020254,2,5
020255,2,5
020256,2,1
020257,2,3
020258,2,1
020259,2,5
020260,2,1
020261,2,3
020262,2,9
020263,2,5
020264,2,5
020265,2,5
020266,2,3
020267,2,5
020268,2,5
020269,2,9
020270,2,1
020271,2,3
020272,2,9
020273,2,5
020274,2,9
020275,2,5
020276,2,5
020277,2,3
020278,2,3
020279,2,3
020280,2,3
020281,2,1
020282,2,3
020283,2,9
020284,2,1
020285,2,5
020286,2,3
020287,2,1
020288,2,1
020289,2,9
020290,2,3
020291,2,3
020292,2,1
020293,2,5
020294,2,3
